id,speaker_nm,conversation_id,reply_to_nm,timestamp,text,likes,shares,num_comments,cleaned_text,named_entities,sentiment,tokens
1339230232088367105,MrAndyNgo,1339230232088367105,None,2020-12-16 15:25:43,"BLM-antifa in Seattle have set up another autonomous zone at Cal Anderson Park in the Capital Hill neighborhood. This is the same area they made CHAZ during the summer months. Video by 
@choeshow
:",5200,2700,1400,blmantifa seattle set autonomous zone cal anderson park capital hill neighborhood area chaz summer months video choeshow,"[('BLM-antifa', 'ORG'), ('Seattle', 'GPE'), ('Cal Anderson Park', 'FAC'), ('Capital Hill', 'LOC'), ('the summer months', 'DATE')]",0.2,"[101, 1038, 12624, 3775, 7011, 5862, 2275, 8392, 4224, 10250, 5143, 2380, 3007, 2940, 5101, 2181, 15775, 2480, 2621, 2706, 2678, 16480, 9953, 5004, 102]"
1339230948488073219,Freakoutery,1339230232088367105,MrAndyNgo,2020-12-16 15:28:34,"At some point it seems as if we could just start tweeting out videos of landfills and Haitian ghettos and say ""another autonomous zone has erupted in ___"" and they'd be totally believable.",113,2,1,point just start tweeting videos landfills haitian ghettos say autonomous zone erupted theyd totally believable,"[('Haitian', 'NORP')]",0.45,"[101, 2391, 2074, 2707, 1056, 28394, 3436, 6876, 28382, 2015, 21404, 17276, 2015, 2360, 8392, 4224, 12591, 2027, 2094, 6135, 19337, 2666, 12423, 102]"
1339451172659322882,DevinCow,1339230232088367105,MrAndyNgo,2020-12-17 06:03:40,"Hay 
@KathrynTewson
 they’re lying again",13,0,1,hay kathryntewson theyre lying,[],0.0,"[101, 10974, 20484, 2618, 9333, 2239, 2027, 2890, 4688, 102]"
1339236439620349957,palindromemood,1339230232088367105,MrAndyNgo,2020-12-16 15:50:23,"This is what we have to look forward to in the Harris/Biden administration. By the time the sympathizers wake up, it’ll be too late.",87,5,2,look forward harrisbiden administration time sympathizers wake itll late,"[('Biden', 'PERSON')]",-0.3,"[101, 2298, 2830, 5671, 17062, 2368, 3447, 2051, 25353, 8737, 25457, 16750, 5256, 2009, 3363, 2397, 102]"
1339231536642629632,kmcannistraci,1339230232088367105,MrAndyNgo,2020-12-16 15:30:54,1 time my kid put a note on the door”don’t come in”. I took the door off for a year. That what you do when children throw tantrums. Also you would think with all those collective people together they could come up with a system to clean that place up. Come on man!,74,3,10,1 time kid note doordont come took door year children throw tantrums think collective people come clean place come man,"[('1', 'CARDINAL'), ('a year', 'DATE')]",0.45833333333333337,"[101, 1015, 2051, 4845, 3602, 2341, 5280, 2102, 2272, 2165, 2341, 2095, 2336, 5466, 9092, 24456, 2015, 2228, 7268, 2111, 2272, 4550, 2173, 2272, 2158, 102]"
1339231959927631873,skol_brian,1339230232088367105,MrAndyNgo,2020-12-16 15:32:35,Andy cuts the video and calls it a CHAZ when it's a homeless encampment.  Not surprising. Gotta get those Ngo Simps fird up right?,50,1,34,andy cuts video calls chaz homeless encampment surprising gotta ngo simps fird right,"[('Andy', 'PERSON'), ('Ngo Simps', 'GPE')]",-0.03214285714285714,"[101, 5557, 7659, 2678, 4455, 15775, 2480, 11573, 4372, 26468, 3672, 11341, 10657, 17895, 21934, 4523, 21554, 2094, 2157, 102]"
1339234000162844674,St3veOlson,1339230232088367105,MrAndyNgo,2020-12-16 15:40:42,"I totally support this. As long as we get to build an additional wall around them and never let them come out. Once their supplies diminish, it would only be a matter of time before the problem would resolve itself.",14,0,1,totally support long build additional wall let come supplies diminish matter time problem resolve,[],-0.016666666666666666,"[101, 6135, 2490, 2146, 3857, 3176, 2813, 2292, 2272, 6067, 11737, 5498, 4095, 3043, 2051, 3291, 10663, 102]"
1339313377177460743,ShraderKs,1339230232088367105,MrAndyNgo,2020-12-16 20:56:07,Wait antifa is a myth! BLM is a multi-billion dollar organization they wouldn't live like this!! Would they? This is what the left has given birth too. How in the world did 81 million people vote for this?,10,1,8,wait antifa myth blm multibillion dollar organization wouldnt live like left given birth world did 81 million people vote,"[('BLM', 'ORG'), ('multi-billion dollar', 'MONEY'), ('81 million', 'CARDINAL')]",0.1065340909090909,"[101, 3524, 3424, 7011, 10661, 1038, 13728, 4800, 24457, 3258, 7922, 3029, 2876, 2102, 2444, 2066, 2187, 2445, 4182, 2088, 2106, 6282, 2454, 2111, 3789, 102]"
1339231336867966980,wilconorth_j,1339230232088367105,MrAndyNgo,2020-12-16 15:30:07,It’s really wonderful what they’ve been able to build,9,0,1,really wonderful theyve able build,[],0.75,"[101, 2428, 6919, 2027, 3726, 2583, 3857, 102]"
1339342589951176718,Designsage,1339230232088367105,MrAndyNgo,2020-12-16 22:52:11,"Wow, Seattle is starting to look like a third world country. WOW.",5,1,1,wow seattle starting look like world country wow,"[('Seattle', 'GPE'), ('WOW', 'ORG')]",0.05,"[101, 10166, 5862, 3225, 2298, 2066, 2088, 2406, 10166, 102]"
1339345626119671809,OlCurt66,1339230232088367105,MrAndyNgo,2020-12-16 23:04:15,"I’ve said it before and will again. I have no more sympathy for the folks living there. If they won’t band together to stop this, so be it.",7,0,3,ive said sympathy folks living wont band stop,[],-0.25,"[101, 4921, 2063, 2056, 11883, 12455, 2542, 2180, 2102, 2316, 2644, 102]"
1339232994905743360,EdwinHoward1144,1339230232088367105,MrAndyNgo,2020-12-16 15:36:42,"Keep the faith, Trump’s hellfire is about to rain down on the anarcho-communists and the deep state.",4,1,2,faith trumps hellfire rain anarchocommunists deep state,"[('Trump', 'ORG')]",-0.07777777777777779,"[101, 4752, 8398, 2015, 3109, 10273, 4542, 9617, 11140, 24163, 7382, 19496, 12837, 2784, 2110, 102]"
1337813537482223618,thehill,1337813537482223618,None,2020-12-12 17:36:17,"WATCH: Trump supporters gather in Washington, D.C. on Saturday.",589,302,441,watch trump supporters gather washington dc saturday,"[('Washington', 'GPE'), ('D.C.', 'GPE'), ('Saturday', 'DATE')]",0.0,"[101, 3422, 8398, 6793, 8587, 2899, 5887, 5095, 102]"
1337814925301919744,wireframejames,1337813537482223618,thehill,2020-12-12 17:41:48,Imagine if women turned out in support of Trump? It might look like this.,30,6,0,imagine women turned support trump look like,"[('Trump', 'ORG')]",0.0,"[101, 5674, 2308, 2357, 2490, 8398, 2298, 2066, 102]"
1337813689378861056,chin_dogg,1337813537482223618,thehill,2020-12-12 17:36:53,Is this Egypt? Cause that looks like a river of denial,48,0,6,egypt cause looks like river denial,"[('Egypt', 'GPE')]",0.0,"[101, 5279, 3426, 3504, 2066, 2314, 14920, 102]"
1337818431907880961,JGaffneyUSN,1337813537482223618,thehill,2020-12-12 17:55:44,How did they scrape up the gas money?,25,1,0,did scrape gas money,[],0.0,"[101, 2106, 26988, 3806, 2769, 102]"
1337813722144837632,ElyseBurden,1337813537482223618,thehill,2020-12-12 17:37:01,Who cares what they do,26,0,1,cares,[],0.0,"[101, 14977, 102]"
1337815027437473794,BeingJWood,1337813537482223618,thehill,2020-12-12 17:42:12,Maybe more of them should have voted in the election. It’s tough to carry a candidate with approval in the low 40’s over the finish line.,12,1,2,maybe voted election tough carry candidate approval low 40s finish line,"[('40', 'CARDINAL')]",0.037037037037037035,"[101, 2672, 5444, 2602, 7823, 4287, 4018, 6226, 2659, 2871, 2015, 3926, 2240, 102]"
1337814119072886784,ezautoleasesale,1337813537482223618,thehill,2020-12-12 17:38:36,"If Trump was the patriot he claims to be, he would quash this foolishness, admit he has lost fair and square, concede the election and tell his sycophants to go home.   Election is over, but oh now....he cant do that.",12,0,5,trump patriot claims quash foolishness admit lost fair square concede election tell sycophants home election oh nowhe,"[('Trump', 'PERSON')]",0.7,"[101, 8398, 16419, 4447, 24209, 11823, 13219, 2791, 6449, 2439, 4189, 2675, 9530, 22119, 2602, 2425, 25353, 3597, 21890, 7666, 2188, 2602, 2821, 2085, 5369, 102]"
1337814154921431040,PaulStaebell,1337813537482223618,thehill,2020-12-12 17:38:44,WOW That crowd is almost as big as his Inaugeration,12,0,0,wow crowd big inaugeration,"[('WOW', 'ORG'), ('Inaugeration', 'FAC')]",0.05,"[101, 10166, 4306, 2502, 27118, 22890, 8156, 102]"
1337816652361199618,DrJones03046447,1337813537482223618,thehill,2020-12-12 17:48:40,How come he had 71 million votes and can only get a crowd of around a thousand like this in Washington? Something fishy - this shows the true cult of Trump ... which really is pretty small!,8,2,0,come 71 million votes crowd thousand like washington fishy shows true cult trump really pretty small,"[('71 million', 'CARDINAL'), ('around a thousand', 'CARDINAL'), ('Washington', 'GPE'), ('Trump', 'ORG')]",0.071875,"[101, 2272, 6390, 2454, 4494, 4306, 4595, 2066, 2899, 3869, 2100, 3065, 2995, 8754, 8398, 2428, 3492, 2235, 102]"
